objectid,name
1196,"AMERICAN INSTITUTE OF MASSAGE THERAPY"
1197,"FLORIDA GATEWAY COLLEGE"
1198,"TRINITY INTERNATIONAL UNIVERSITY-FLORIDA"
1199,"PORTER AND CHESTER INSTITUTE OF STRATFORD"
12,"ALASKA BIBLE COLLEGE"
120,"KENNESAW STATE UNIVERSITY"
1200,"MIAMI LAKES EDUCATIONAL CENTER AND TECHNICAL COLLEGE"
1201,"NORTH FLORIDA COLLEGE"
1202,"GEORGETOWN UNIVERSITY"
1203,"WESLEY THEOLOGICAL SEMINARY"
1204,"UNIVERSITY OF THE DISTRICT OF COLUMBIA"
1205,"TRINITY BAPTIST COLLEGE"
1206,"CONCORDE CAREER INSTITUTE-TAMPA"
1207,"SAINT LEO UNIVERSITY"
1208,"THE JOHN MARSHALL LAW SCHOOL"
1209,"SHERIDAN TECHNICAL COLLEGE"
121,"TULSA WELDING SCHOOL-HOUSTON"
1210,"ORANGE TECHNICAL COLLEGE-WESTSIDE CAMPUS"
1211,"ANABAPTIST MENNONITE BIBLICAL SEMINARY"
1212,"ORANGE TECHNICAL COLLEGE-WINTER PARK CAMPUS"
1213,"ATLANTA'S JOHN MARSHALL LAW SCHOOL"
1214,"BRESCIA UNIVERSITY"
1215,"BEREA COLLEGE"
1216,"BROWN COLLEGE OF COURT REPORTING"
1217,"LAGRANGE COLLEGE"
1218,"ADVANCED TECHNOLOGY INSTITUTE"
1219,"MIAMI AD SCHOOL-ATLANTA"
122,"JOLIE HEALTH & BEAUTY ACADEMY-CHERRY HILL"
1220,"UNIVERSITY OF HAWAII SYSTEM OFFICE"
1221,"AVEDA INSTITUTE-TWIN FALLS"
1222,"UNIVERSITY OF LOUISIANA AT LAFAYETTE"
1223,"PAUL MITCHELL THE SCHOOL-BRADLEY"
1224,"THE CHICAGO SCHOOL OF PROFESSIONAL PSYCHOLOGY AT CHICAGO"
1225,"HAIR PROFESSIONALS CAREER COLLEGE"
1226,"SAINT AUGUSTINE COLLEGE"
1227,"NATIONAL LATINO EDUCATION INSTITUTE"
1228,"TRICOCI UNIVERSITY OF BEAUTY CULTURE-HIGHLAND"
1229,"FRANKLIN COLLEGE"
123,"LAREDO CHI ACADEMY BEAUTY SCHOOL"
1230,"INDIANA UNIVERSITY-PURDUE UNIVERSITY-INDIANAPOLIS"
1231,"INDIANA INSTITUTE OF TECHNOLOGY"
1232,"UNIVERSITY OF SOUTHERN INDIANA"
1233,"APPALACHIAN BEAUTY SCHOOL"
1234,"WOR-WIC COMMUNITY COLLEGE"
1235,"COLLEGE OF THE ATLANTIC"
1236,"TRI-COUNTY BEAUTY ACADEMY"
1237,"J MICHAEL HARROLD BEAUTY ACADEMY"
1238,"WEST VIRGINIA JUNIOR COLLEGE-MORGANTOWN"
1239,"WASHINGTON COUNTY COMMUNITY COLLEGE"
124,"CALIFORNIA JAZZ CONSERVATORY"
1240,"WRIGHT BEAUTY ACADEMY"
1241,"ALBION COLLEGE"
1242,"AMERICAN SAMOA COMMUNITY COLLEGE"
1243,"PAUL MITCHELL THE SCHOOL-LOUISVILLE"
1244,"MAINE COLLEGE OF HEALTH PROFESSIONS"
1245,"EMPIRE BEAUTY SCHOOL-MAINE"
1246,"BALTIMORE STUDIO OF HAIR DESIGN"
1247,"COLLEGE OF SOUTHERN MARYLAND"
1248,"CHESAPEAKE COLLEGE"
1249,"ST. MARY'S COLLEGE OF MARYLAND"
125,"SANDRA ACADEMY OF SALON SERVICES, INC"
1250,"BANCROFT SCHOOL OF MASSAGE THERAPY"
1251,"BOSTON UNIVERSITY"
1252,"HEBREW COLLEGE"
1253,"NICHOLS COLLEGE"
1254,"NORTH BENNET STREET SCHOOL"
1255,"SALEM STATE UNIVERSITY"
1256,"BARD COLLEGE AT SIMON'S ROCK"
1257,"MICHIGAN SCHOOL OF PSYCHOLOGY"
1258,"CENTRAL MICHIGAN UNIVERSITY"
1259,"CRANBROOK ACADEMY OF ART"
126,"PRESIDIO GRADUATE SCHOOL"
1260,"COLLEGE FOR CREATIVE STUDIES"
1261,"MICHIGAN STATE UNIVERSITY-COLLEGE OF LAW"
1262,"MIAT COLLEGE OF TECHNOLOGY"
1263,"KIRTLAND COMMUNITY COLLEGE"
1264,"THE MICHIGAN BARBER SCHOOL"
1265,"OLIVET COLLEGE"
1266,"ROSS MEDICAL EDUCATION CENTER-MADISON HEIGHTS"
1267,"OAKLAND UNIVERSITY"
1268,"SAGINAW VALLEY STATE UNIVERSITY"
1269,"CARLETON COLLEGE"
127,"SAINT MICHAEL COLLEGE OF ALLIED HEALTH"
1270,"GUSTAVUS ADOLPHUS COLLEGE"
1271,"NEW YORK ACADEMY OF ART"
1272,"SAINT JOHNS UNIVERSITY"
1273,"CROWN COLLEGE"
1274,"EAST CENTRAL COMMUNITY COLLEGE"
1275,"HINDS COMMUNITY COLLEGE"
1276,"BOARD OF TRUSTEES-MISSISSIPPI STATE INSTITUTIONS OF HIGHER LEARNING"
1277,"HOUSE OF HEAVILIN BEAUTY COLLEGE-BLUE SPRINGS"
1278,"CAPE GIRARDEAU CAREER AND TECHNOLOGY CENTER"
1279,"EVANGEL UNIVERSITY"
128,"RANDOLPH TECHNICAL CENTER"
1280,"PAUL MITCHELL THE SCHOOL-INDIANAPOLIS"
1281,"HILLYARD TECHNICAL CENTER"
1282,"RAINY RIVER COMMUNITY COLLEGE"
1283,"SAINT LUKE'S COLLEGE OF HEALTH SCIENCES"
1284,"KANSAS CITY UNIVERSITY OF MEDICINE AND BIOSCIENCES"
1285,"BLACKFEET COMMUNITY COLLEGE"
1286,"CHIEF DULL KNIFE COLLEGE"
1287,"MONTANA STATE UNIVERSITY BILLINGS"
1288,"FORT PECK COMMUNITY COLLEGE"
1289,"HELENA COLLEGE UNIVERSITY OF MONTANA"
129,"SAN FRANCISCO FILM SCHOOL"
1290,"LITTLE BIG HORN COLLEGE"
1291,"CONCORDIA UNIVERSITY-NEBRASKA"
1292,"NEBRASKA METHODIST COLLEGE OF NURSING & ALLIED HEALTH"
1293,"NEBRASKA CHRISTIAN COLLEGE OF HOPE INTERNATIONAL UNIVERSITY"
1294,"NEBRASKA INDIAN COMMUNITY COLLEGE"
1295,"CAREER COLLEGE OF NORTHERN NEVADA"
1296,"WHITE MOUNTAINS COMMUNITY COLLEGE"
1297,"FELICIAN UNIVERSITY"
1298,"FAIRLEIGH DICKINSON UNIVERSITY-FLORHAM CAMPUS"
1299,"HARRIS SCHOOL OF BUSINESS-CHERRY HILL CAMPUS"
13,"WEBBER INTERNATIONAL UNIVERSITY"
130,"HVAC TECHNICAL INSTITUTE"
1300,"STEVENS INSTITUTE OF TECHNOLOGY"
1301,"NAVAJO TECHNICAL UNIVERSITY"
1302,"NEW MEXICO HIGHLANDS UNIVERSITY"
1303,"SANTA FE COMMUNITY COLLEGE"
1304,"MESALANDS COMMUNITY COLLEGE"
1305,"BRYANT & STRATTON COLLEGE-ALBANY"
1306,"BERK TRADE AND BUSINESS SCHOOL"
1307,"BRYANT & STRATTON COLLEGE-BUFFALO"
1308,"CAZENOVIA COLLEGE"
1309,"EMPIRE BEAUTY SCHOOL-QUEENS"
130989,"Goldey‑Beacom College"
131,"BELLA ACADEMY OF COSMETOLOGY"
1310,"ARIZONA STATE UNIVERSITY-WEST"
1311,"CONCORDIA COLLEGE"
1312,"CULINARY INSTITUTE OF AMERICA"
1313,"CUNY LEHMAN COLLEGE"
